TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,EBY DIFF INDUSTRY
2,Bruce Branch III,Prolific Prep ,?,Scoring Wing,Perimeter Stopper,"6'7""",4,8,6,2,1,4.2,5,4
2,Dylan Mingo ,Long Island Lutheran,?,Primary Initiator,Perimeter Stopper,"6'3""",2,6,9,3,2,4.4,5,3
2,Tyran Stokes,Ranier Beach ,?,Wing Handler,Helper,"6'8""",1,1,1,1,3,1.4,1,-2
3,Hugo Yimga Mourkouri,Nantarre 92 (FRA),?,Scoring Wing,Perimeter Stopper,"6'6""",,,,14,4,9,14,-0.5
3,Caleb Holt ,Prolific Prep ,?,Scoring Wing,Perimeter Stopper,"6'7""",9,5,5,8,5,6.4,6.75,1.75
3,Brandon McCoy,Sierra Canyon ,?,Combo Wing,Perimeter Disruptor,"6'5""",7,9,19,7,6,9.6,10.5,4.5
3,Cameron Williams ,St. Mary's ,Duke,Skilled Big ,Versatile Big,"6'11""",14,4,2,9,7,7.2,7.25,0.25
3,Stefan Joksimovic,Baskonia (SLO),?,Wing Handler,Helper,"6'6""",,,,,8,8,,
3,Bryson Howard,Heritage ,Duke,Combo Wing,Perimeter Stopper,"6'5""",3,12,17,5,9,9.2,9.25,0.25
3,Anthony Thompson,Western Reserve Academy,Ohio State,Off-Ball Wing,Helper,"6'7""",8,7,12,4,10,8.2,7.75,-2.25
3,Jordan Smith Jr. ,St. Paul IV,?,Slasher,Point-of-Attack,"6'2""",11,2,3,6,11,6.6,5.5,-5.5
3,Baba Olatodun,James Hubert Blake ,Maryland,Scoring Wing,Helper,"6'8""",10,10,7,13,12,10.4,10,-2
4,Christian Collins,St. John Bosco ,?,Play Finishing Forward,Versatile Big,"6'9""",15,8,8,17,13,12.2,12,-1
4,Arafan Diane,Iowa United Prep,Houston,Post Scorer,Rim Protector,"7'1""",12,17,20,15,14,15.6,16,2
4,Deron Rippley Jr. ,Blair Academy,?,Primary Ball Handler,Point-of-Attack,"6'1""",6,6,16,10,15,10.6,9.5,-5.5
4,Taylen Kinney,Overtime Elite,Kansas,Primary Initiator,Point-of-Attack,"6'2""",26,13,18,20,16,18.6,19.25,3.25
4,Qayden Samuels,Bishop McNamara,?,Scoring Wing,Perimeter Stopper,"6'6""",43,18,22,36,17,27.2,29.75,12.75
4,Juom Maker Bol,Baskonia (SSD),?,Skilled Big ,Rim Protector,"7'1""",,,,,18,18,,
4,Sayon Keita,Barcelona (MLI),?,Play Finishing Big,Rim Protector,"6'11""",,,,19,19,19,19,-14.25
4,Colben Landrew,Wheeler,UConn,Combo Wing,Perimeter Disruptor,"6'6""",25,21,40,18,20,24.8,26,6
4,Alex Constanza,SPIRE Academy,Georgetown,Scoring Wing,???,"6'8""",16,22,28,53,21,28,29.75,8.75
4,JJ Andrews,Little Rock Christian ,Arkansas,Slasher,Perimeter Stopper,"6'6""",29,11,11,16,22,17.8,16.75,-5.25
4,Jason Crowe Jr. ,Inglewood ,Missouri,Primary Initiator,Low Activity,"6'2""",18,3,4,12,23,12,9.25,-13.75
4,Diego Niebla,Joventut (ESP),?,Off-Ball Wing,Chaser,"6'7""",,,,,24,24,,
4,Matthys Mahop,INSEP (FRA),?,Primary Ball Handler,Point-of-Attack,"6'4""",,,,47,25,36,47,-13.25
4,Darius Ratliff,Archbishop Stepanic,USC,Play Finishing Big,Rim Protector,"7'0""",13,43,26,27,26,27,27.25,1.25
4,Austin Goosby,Dynamic Prep,Texas,Combo Wing,Perimeter Disruptor,"6'5""",52,19,23,21,27,28.4,28.75,1.75
4,Toni Bryant,Zephyrhills ,Missouri,Play Finishing Forward,Rim Protector,"6'10""",39,23,14,49,28,30.6,31.25,3.25
5,Junior County,Wasatch Academy,UConn,Combo Guard,Perimeter Stopper,"6'4""",63,29,37,31,29,37.8,40,11
5,Maximo Adams,Sierra Canyon ,UNC,Scoring Forward,Helper,"6'6""",19,25,25,23,30,24.4,23,-7
5,Mathias Vazquez,Overtime Elite (BRA),?,Combo Wing,Perimeter Stopper,"6'7""",,,,46,31,38.5,46,-19.5
5,Jaxon Richardson,Southeastern Prep,?,Slasher,Perimeter Disruptor,"6'6""",54,20,15,22,32,28.6,27.75,-4.25
5,Caleb Gaskins,Columbus ,Miami,Slasher,Perimeter Stopper,"6'7""",5,24,13,11,33,17.2,13.25,-19.75
5,Luca Foster,Link Academy,Gonzaga,Combo Wing,Chaser,"6'5""",46,40,45,50,34,43,45.25,11.25
5,Miikka Muurinen,Partizan (FIN),?,Play Finishing Big,???,"6'11""",,15,,54,35,44.5,34.5,-17.75
5,Cameron Houdino,Cedevita Olimpija (FRA),?,Play Finishing Big,Versatile Big,"6'9""",,,,44,36,40,44,-25
5,Ilia Frolov,Real Madrid (RUS),?,Skilled Big ,Paint Prescence,"6'10""",,,,,37,37,,
5,Ethan Taylor,Link Academy,Michigan St.,Play Finishing Big,Rim Protector,"7'1""",22,28,44,33,38,33,31.75,-6.25
5,Bo Ogden,Westlake,Texas,Movement Shooter,???,"6'5""",37,33,43,41,39,38.6,38.5,-0.5
5,Cole Cloer,IMG Academy,NC State,Movement Shooter,???,"6'7""",55,27,24,42,40,37.6,37,-3
5,Miles Sadler,Bella Vista Prep,West Virginia,Primary Initiator,Point-of-Attack,"5'11""",24,41,21,25,41,30.4,27.75,-13.25
5,Cameron Holmes,Millenium,Arizona,Scoring Wing,???,"6'8""",61,30,38,29,42,40,39.5,-2.5
5,Tajh Ariza,Link Academy,Oregon,Slasher,Perimeter Stopper,"6'7""",20,14,30,24,43,26.2,22,-21
5,Ralph Scott,IMG Academy,Tennessee,Play Finishing Forward,Helper,"6'8""",42,35,54,38,44,42.6,42.25,-1.75
5,Davion Adkins,Prolific Prep ,Kansas,Play Finishing Big,Versatile Big,"6'9""",28,34,56,28,45,38.2,36.5,-8.5
5,Abdou Traore,Notre Dame,Arkansas,Scoring Guard,Perimeter Stopper,"6'4""",30,37,34,34,46,36.2,33.75,-12.25
5,Egor Amosov,Real Madrid (RUS),?,Connector Wing,???,"6'8""",,,,,47,47,,
5,Latrell Allmond,Petersburg,Oklahoma State,Post Scorer,Helper,"6'8""",32,32,42,30,48,36.8,34,-14
5,Adonis Ratliff,Archbishop Stepanic,USC,Skilled Big ,Helper,"6'10""",17,52,10,31,49,31.8,27.5,-21.5
5,Dakari Spear,Dynamic Prep,Texas Tech,Off-Ball Wing,Perimeter Disruptor,"6'5""",85,83,35,103,50,71.2,76.5,26.5
5,Quentin Coleman,The Principia School,Wake Forest,Combo Guard,Perimeter Stopper,"6'4""",75,92,125,58,51,80.2,87.5,36.5
5,Quincy Wadley ,AZ Compass Prep,?,Combo Wing,???,"6'5""",27,55,55,93,52,56.4,57.5,5.5
5,Josh Irving,Pasadena,Texas A&M,Play Finishing Big,Rim Protector,"6'11""",41,63,98,43,53,59.6,61.25,8.25
5,Jacob Webber,La Lumiere,Purdue,Movement Shooter,???,"6'7""",34,73,99,63,54,64.6,67.25,13.25
5,Jasiah Jervis,Archbishop Stepanic,Michigan St.,Scoring Guard,???,"6'4""",23,39,31,39,55,37.4,33,-22
5,Luke Ertel,Mt. Vernon,Purdue,Primary Ball Handler,Point-of-Attack,"6'1""",53,42,52,109,56,62.4,64,8
5,Ikenna Alozie,Dream City Christian,Houston,Primary Ball Handler,Point-of-Attack,"6'2""",36,46,32,79,57,50,48.25,-8.75
5,Dovydas Buika,Zalgris (LTU),?,Combo Wing,???,"6'6""",,,,51,58,54.5,51,-45.25
5,Andrej Bjelic,Real Madrid (SRB),?,Combo Guard,???,"6'4""",,,,,59,59,,
5,Mate Khatiashvili,Baskonia (GEO),?,Primary Ball Handler,Chaser,"6'3""",,,,,60,60,,
5,Nikola Karalic,KK Mega (SRB),?,Connector Wing,Perimeter Stopper,"6'7""",,,,,61,61,,
5,Katrell Harmon,Wasatch Academy,Creighton,Combo Guard,Perimeter Stopper,"6'3""",110,58,59,86,62,75,78.25,16.25
5,Quinn Costello ,Newman School,Michigan,Skilled Big ,???,"6'9""",33,45,29,72,63,48.4,44.75,-18.25
