c,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,,,,RANK
1,Joaquim Boumtje Boumtje,Barcelona (USA),?,Skilled Big,Rim Protector,"6'11""",,,,,12,1,6.5,,,,,
1,Nikola Kusturica,Barcelona (SRB),?,Scoring Wing,Helper,"6'7""",,,,,31,2,16.5,,,,,
1,Nathan Soliman,INSEP (FRA),?,Scoring Wing,Perimeter Stopper,"6'9""",,,,,8,3,5.5,,,,,
1,CJ Rosser,Southeastern Prep,?,Play Finishing Forward,Versatile Forward,"6'10""",1,2,1,2,3,4,2.2,1.8,,,,
1,Fabian Kayser,Real Madrid (GER),?,Wing Handler,Perimeter Stopper,"6'7""",,,,,10,5,7.5,,,,,
1,Marcus Spears Jr.,Dynamic Prep,?,Wing Finisher,Wrecking Ball,"6'7""",13,1,8,1,4,6,5.5,5.4,,,,
1,Obinna Ekezie Jr.,Southeastern Prep,?,Play Finishing Big,Rim Protector,"7'0""",2,6,3,4,1,7,3.8,3.2,,,,
2,Moussa Kamissko,Long Island Lutheran,?,Connector Play Finisher,Helper,"6'8""",4,11,2,7,2,8,5.7,5.2,,,,
2,Nasir Anderson,Prolific Prep,?,Primary Ball Handler,Point-of-Attack,"6'2""",8,9,9,8,6,9,8.2,8.0,,,,
2,Paul Osayuri,Bella Vista Prep (CAN),?,Play Finishing Forward,Versatile Big,"6'9""",14,4,12,3,11,10,9.0,8.8,,,,
2,Dawson Battie,St. Marks,?,Slasher,Helper,"6'8""",11,17,17,15,23,11,15.7,16.6,,,,
2,Reese Alston,Second Babtist,?,Primary Ball Handler,Point-of-Attack,"6'2""",5,8,15,21,13,12,12.3,12.4,,,,
2,Ryan Hampton,DME Academy,?,Scoring Guard,Perimeter Stopper,"6'5""",3,5,11,5,27,13,10.7,10.2,,,,
2,Jordan Page,Broughton,?,Combo Guard,Perimeter Stopper,"6'4""",17,10,7,14,5,14,11.2,10.6,,,,
3,Omer Kutluay,Real Madrid (TUR),?,Primary Ball Handler,Chaser,"6'3""",,,,,,15,15.0,,,,,
3,Matija Lukic,Zaragoza (SRB),?,Wing Handler,???,"6'7""",,,,,32,16,24.0,,,,,
3,Demarcus Henry,AZ Compass Prep,?,Downhill Initiator,Helper,"6'7""",19,12,24,18,15,17,17.5,17.6,,,,
3,Beckham Black,Southeastern Prep,?,Primary Ball Handler,Point-of-Attack,"6'2""",18,3,16,6,19,18,13.3,12.4,,,,
3,King Gibson,SPIRE Academy,?,Primary Ball Handler,Point-of-Attack,"6'3""",6,7,6,23,22,19,13.8,12.8,,,,
3,Nikola Djurovic,Partizan (SRB),?,Skilled Big,Helper,"6'10""",,,,,,20,20.0,,,,,
3,Cayden Daughtry,Calvary Christian,?,Primary Ball Handler,Point-of-Attack,"5'11""",23,18,13,20,14,21,18.2,17.6,,,,
3,Gabe Nesmith,Overtime Elite,?,Scoring Guard,Perimeter Stopper,"6'5""",37,14,19,11,21,22,20.7,20.4,,,,
3,Malachi Jordan,Dream City Christian,?,Off-Ball Wing,Perimeter Stopper,"6'6""",7,19,23,13,9,23,15.7,14.2,,,,
4,Jalen Davis,Bremerton,?,Combo Guard,Chaser,"6'3""",20,15,5,34,7,24,17.5,16.2,,,,
4,Davion Thompson,Link Academy,?,Primary Ball Handler,???,"6'2""",40,20,20,24,29,25,26.3,26.6,,,,
4,Josh Leonard,Wilson,?,Scoring Wing,Perimeter Stopper,"6'6""",9,31,14,29,16,26,20.8,19.8,,,,
4,Zion Green,Mt. Zion Prep,?,Wing Handler,Helper,"6'7""",10,32,18,53,25,27,27.5,27.6,,,,
4,Luke Roland Paul,NBL Next Stars (AUS),?,Primary Ball Handler,Point-of-Attack,"6'6""",,,,,,28,28.0,,,,,
4,Isaiah Hill,Pike,?,Play Finishing Big,Rim Protector,"6'10""",26,16,4,12,40,29,21.2,19.6,,,,
4,Javon Barwell,Overtime Elite,Kansas,Movement Shooter,Chaser,"6'6""",23,13,,38,62,30,27.7,27.2,,,,
4,Petar Bjelica,KK Mega (SRB),?,Post Scorer,???,"6'9""",,,,,,31,31.0,,,,,
4,Darius Wabbington,Sunnyslope,?,Skilled Big,Versatile Big,"6'9""",22,22,21,19,26,32,23.7,22.0,,,,
4,Donovan Davis,Freedom,?,Slasher,Perimeter Stopper,"6'8""",29,42,26,,,33,32.5,32.3,,,,
4,Anderson Diaz,Overtime Elite,?,Primary Ball Handler,Point-of-Attack,"6'1""",32,28,39,22,45,34,33.3,33.2,,,,
4,Angelos Zoupas,Amyntas (GRE),?,Scoring Wing,Helper,"6'7""",,,,,,35,35.0,,,,,
4,Jeremy Jenkins,Overtime Elite,?,Scoring Forward,Helper,"6'7""",28,37,22,26,55,36,34.0,33.6,,,,
4,Scottie Adkinson,Webster Groves,Missouri,Primary Ball Handler,Chaser,"6'4""",48,33,35,40,28,37,36.8,36.8,,,,
4,Carson Crawford,Fleming Island,?,Scoring Wing,Perimeter Stopper,"6'6""",36,62,37,,,38,43.3,45.0,,,,
4,Tyran Frazier,Iowa United Prep,?,Stretch Big,Versatile Big,"6'9""",27,41,47,32,48,39,39.0,39.0,,,,
4,Ahmad Hudson,Ruston,?,Play Finishing Big,Versatile Big,"6'6""",65,24,59,16,38,40,40.3,40.4,,,,
4,Dooney Johnson,Juneau,Gonzaga,Combo Wing,Perimeter Stopper,"6'6""",16,39,41,28,39,41,34.0,32.6,,,,
