TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,,,,RANK
1,Nathan Soliman,Nantes (FRA),?,Scoring Wing,Perimeter Disruptor,"6'9""",,,,,4,1,2.5,,,,,
1,Nikola Kusturica,Barcelona (SRB),?,Scoring Wing,Helper,"6'7""",,,,,1,2,1.5,,,,,
2,Marcus Spears Jr.,Dynamic Prep,?,Wing Finisher,Wrecking Ball,"6'7""",9,1,2,1,3,3,3.2,3.2,,,,
2,CJ Rosser,Southeastern Prep,?,Play Finishing Forward,Versatile Forward,"6'10""",1,2,1,2,2,4,2.0,1.6,,,,
2,Reese Alston,Second Babtist,?,Primary Ball Handler,Point-of-Attack,"6'2""",5,8,8,14,16,5,9.3,10.2,,,,
2,Jalen Davis,Bremerton,?,Combo Guard,Perimeter Disruptor,"6'3""",20,15,12,29,10,6,15.3,17.2,,,,
2,Obinna Ekezie Jr.,Southeastern Prep,?,Play Finishing Big,Rim Protector,"7'0""",4,6,3,4,5,7,4.8,4.4,,,,
2,Paul Osayuri,Bella Vista Prep (CAN),?,Play Finishing Forward,Versatile Big,"6'9""",7,4,9,3,15,8,7.7,7.6,,,,
2,Fabian Kayser,Real Madrid (GER),?,Wing Handler,Perimeter Stopper,"6'7""",,,,,55,9,32.0,55.0,,,,
2,Cayden Daughtry,Calvary Christian,?,Primary Ball Handler,Point-of-Attack,"6'2""",22,18,17,22,24,10,18.8,20.6,,,,
2,Dawson Battie,St. Marks,?,Slasher,Helper,"6'8""",13,17,21,18,41,11,20.2,22.0,,,,
2,Beckham Black,Southeastern Prep,?,Primary Ball Handler,Point-of-Attack,"6'2""",8,3,6,5,14,12,8.0,7.2,,,,
2,Malachi Jordan,Dream City Christian,?,Off-Ball Wing,Perimeter Stopper,"6'6""",11,19,14,7,8,13,12.0,11.8,,,,
3,Moussa Kamissko,Long Island Lutheran,?,Connector Play Finisher,Helper,"6'8""",3,11,5,16,6,14,9.2,8.2,,,,
3,Omer Kutluay,Real Madrid (TUR),?,Primary Ball Handler,Chaser,"6'3""",,,,,,15,15.0,,,,,
3,Luke Paul,NBL Next Stars (AUS),?,Primary Ball Handler,Point-of-Attack,"6'6""",,,,,,16,16.0,,,,,
3,Jordan Page,Broughton,?,Combo Guard,Perimeter Stopper,"6'4""",14,10,13,13,11,31,15.3,12.2,,,,
3,Matija Lukic,Zaragoza (SRB),?,Wing Handler,???,"6'7""",,,,,37,17,27.0,,,,,
3,Nasir Anderson,Prolific Prep,?,Primary Ball Handler,Point-of-Attack,"6'2""",10,9,11,6,9,18,10.5,9.0,,,,
3,Demarcus Henry,AZ Compass Prep,?,Downhill Initiator,Helper,"6'7""",17,12,15,10,19,19,15.3,14.6,,,,
3,King Gibson,SPIRE Academy,?,Primary Ball Handler,Point-of-Attack,"6'3""",2,7,10,11,22,20,12.0,10.4,,,,
3,Isaiah Hill,Pike,?,Play Finishing Big,Rim Protector,"6'10""",25,16,7,9,12,21,15.0,13.8,,,,
3,Ryan Hampton,DME Academy,?,Scoring Guard,Perimeter Stopper,"6'5""",6,5,4,12,31,22,13.3,11.6,,,,
3,Nikola Djurovic,Partizan (SRB),?,Skilled Big,Helper,"6'10""",,,,,,23,23.0,,,,,
3,Ahmad Hudson,Ruston,?,Play Finishing Big,Versatile Big,"6'6""",51,24,46,19,35,24,33.2,35.0,,,,
3,Gabe Nesmith,Overtime Elite,?,Scoring Guard,Perimeter Stopper,"6'5""",28,14,22,15,34,25,23.0,22.6,,,,
4,Davion Thompson,Link Academy,?,Primary Ball Handler,???,"6'2""",26,20,19,24,23,26,23.0,22.4,,,,
4,Josh Leonard,Wilson,?,Scoring Wing,Perimeter Stopper,"6'6""",12,31,24,30,17,27,23.5,22.8,,,,
4,NaVorro Bowman Jr.,Notre Dame,?,Combo Guard,Point-of-Attack,"6'2""",19,23,27,20,21,28,23.0,22.0,,,,
4,Zion Green,Mt. Zion Prep,?,Wing Handler,Helper,"6'7""",15,32,18,58,27,29,29.8,30.0,,,,
4,Petar Bjelica,KK Mega (SRB),?,Post Scorer,???,"6'9""",,,,,,30,30.0,,,,,
4,Darius Wabbington,Sunnyslope,?,Skilled Big,Versatile Big,"6'9""",16,22,16,21,33,32,23.3,21.6,,,,
4,Donovan Davis,Freedom,?,Slasher,Perimeter Stopper,"6'8""",32,42,25,,25,33,31.4,31.0,,,,
4,Anderson Diaz,Overtime Elite (DOM),?,Primary Ball Handler,Point-of-Attack,"6'1""",30,28,31,17,20,34,26.7,25.2,,,,
4,Jeremy Jenkins,Overtime Elite,?,Scoring Forward,Helper,"6'7""",36,37,42,31,60,35,40.2,41.2,,,,
4,Scottie Adkinson,Webster Groves,Missouri,Primary Ball Handler,Chaser,"6'4""",33,33,29,39,32,36,33.7,33.2,,,,
4,Carson Crawford,Fleming Island,?,Scoring Wing,Perimeter Stopper,"6'6""",42,62,38,57,29,37,44.2,57.0,,,,
4,Lun Jarc,KK Mega (SLO),?,Stretch Big,???,"6'9""",,,,,,38,38.0,,,,,
4,Lewis Uvwo,Prolific Prep (NGE),?,Play Finishing Big,Rim Protector,"6'10""",47,,70,,,39,52.0,,,,,
4,Dooney Johnson,Juneau,Gonzaga,Combo Wing,Perimeter Stopper,"6'6""",18,39,30,27,28,40,30.3,28.4,,,,
4,Javon Bardwell,Overtime Elite,Kansas,Movement Shooter,Chaser,"6'6""",24,13,23,38,36,41,29.2,26.8,,,,
4,LJ Smith,Oak Hill Academy,Ohio State,Scoring Guard,???,"6'4""",45,27,28,8,56,42,34.3,32.8,,,,
5,Cherif Millongo,St. Francis (BUR),?,Play Finishing Big,Rim Protector,"7'2""",21,47,20,26,13,43,28.3,31.8,,,,
5,RJ Moore,Ambassador Christian,?,Scoring Wing,Perimeter Stopper,"6'5""",39,25,44,,61,44,42.6,42.3,,,,
5,Jack Kohnen,Slinger,?,Off-Ball Wing,Perimeter Stopper,"6'5""",31,80,43,,18,45,43.4,43.0,,,,
5,Angelos Zoupas,Amyntas (GRE),?,Scoring Wing,Helper,"6'7""",,,,,,46,46.0,,,,,
5,Lucas Troels Smith,Zentro ESP (DEN),?,Movement Shooter,Helper,"6'7""",,,,,,47,47.0,,,,,
5,Jarvis Hayes Jr.,Woodward Academy,?,Combo Guard,Perimeter Stopper,"6'5""",57,29,39,25,45,48,40.5,39.0,,,,
5,Munir Greig,Coronado,?,Combo Wing,Perimeter Stopper,"6'6""",55,34,40,28,77,49,47.2,46.8,,,,
5,Aaron Towo-Nansi,Cholet (FRA),?,Primary Ball Handler,Point-of-Attack,"5'10""",,,,,,50,50.0,,,,,
5,Gene Roebuck,La Mirada (HND),?,Scoring Guard,Perimeter Stopper,"6'4""",23,51,36,45,66,51,45.3,44.2,,,,
5,Josiah Harrington,North Scott,Iowa State,Combo Guard,,"6'5""",49,46,50,,53,52,50.0,49.5,,,,
5,Brandon Woodard,Bishop McNamara,?,Play Finishing Forward,Helper,"6'9""",82,59,55,44,82,53,62.5,64.4,,,,
5,Ferlandes Wright,La Lumiere,Louisville,Skilled Forward,Versatile Big,"6'7""",131,75,56,,78,54,78.8,85.0,,,,
5,Gabrielius Buivydas,Rydas (LTU),?,Combo Guard,???,"6'2""",,,,,,55,55.0,,,,,
5,Chase Branham,Logan-Rogersville,Indiana,Combo Guard,???,"6'4""",48,26,34,46,26,56,39.3,36.0,,,,
5,Devin Cleveland,La Lumiere,?,Scoring Guard,???,"6'3""",38,35,32,23,30,57,35.8,31.6,,,,
5,Mahamadou Diop,San Gabriel Academy (MLI),?,Play Finishing Big,Rim Protector,"6'11""",29,79,60,53,71,58,58.3,58.4,,,,
5,Jaydn Jenkins,Archbishop Wood,?,Slasher,Helper,"6'9""",44,21,26,42,39,59,46.2,43.0,,,,
5,Roger Villarejo,Valencia (ESP),?,Downhill Initiator,Helper,"6'6""",,,,,,60,60.0,,,,,
5,Tyrone Jamison,Calvary Baptist Academy,?,Primary Ball Handler,???,"6'2""",54,48,53,37,49,61,50.3,48.2,,,,
5,Jaxson Davis,Warren Township,?,Primary Ball Handler,Point-of-Attack,"6'1""",60,40,33,49,38,62,47.0,44.0,,,,
5,Henry Robinson Jr.,Pine Ridge,?,Scoring Wing,Perimeter Stopper,"6'7""",35,57,37,,86,63,55.6,53.8,,,,
5,Jason Gardner Jr.,Fishers,?,Primary Ball Handler,Point-of-Attack,"6'0""",43,30,49,56,48,64,48.3,45.2,,,,
5,Kevin Savage,Wheeler,?,Primary Ball Handler,Point-of-Attack,"5'11""",73,36,74,33,50,65,55.2,53.2,,,,
5, Ognjen Simjanovski,Crvena Zvezda (SRB),?,Primary Ball Handler,Point-of-Attack,"6'3""",,,,,,66,66.0,,,,,
5,O'Neal Delancy,Monteverde,?,Primary Ball Handler,Point-of-Attack,"6'2""",65,55,35,41,91,67,59.0,57.4,,,,
5,Jomar Bernard,The Villages Charter,?,Off-Ball Wing,Perimeter Stopper,"6'8""",46,63,68,,81,68,65.2,64.5,,,,
5,Aaron Ona Embo,Prolific Prep (BEL),?,Primary Ball Handler,Point-of-Attack,"6'0""",91,,,,,69,160.0,,,,,
5,Ahmed Nur,Hopkins (SOM),?,Off-Ball Wing,Perimeter Stopper,"6'7""",52,44,90,,57,70,62.6,60.8,,,,
5,Tyran Frazier,Iowa United Prep,?,Play Finishing Forward,Helper,"6'9""",27,41,52,32,47,71,45.0,39.8,,,,
5,Howard Williams,Overtime Elite,?,Slasher,Helper,"6'6""",37,58,41,48,96,72,58.7,56.0,,,,
5,Dylan Jones,Bartlett,?,Scoring Wing,Perimeter Stopper,"6'6""",59,50,48,36,74,73,56.7,66.8,,,,
5,Aaron Britt Jr.,Villages Charter School,?,Primary Ball Handler,,"6'0""",85,54,62,,,74,68.8,67.0,,,,
5,J'lon Lyons,Clinton Grace Christian School,?,Primary Ball Handler,Point-of-Attack,"6'3""",61,53,45,52,62,75,58.0,54.6,,,,
