TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
1,AJ Williams,Eagles Landing,?,Scoring Wing,???,"6'7""",2,1,2,1,2,1,1.5,,,,,,
1,Toni Garma,Real Madrid (CRO),?,Combo Guard,Perimeter Stopper,"6'5""",,,,,50,2,26.0,,,,,,
1,Bamba Touray,IMG Academy (SEN),?,Skilled Big,Rim Protector,"7'0""",1,4,5,4,3,3,3.3,,,,,,
2,Isaiah Hamilton,Crestwood Prep (CAN),?,Scoring Wing,Perimeter Disruptor,"6'6""",8,2,,,26,4,10.0,,,,,,
2,Colton Hiller,Coatesville,?,Combo Wing,Chaser,"6'6""",3,3,3,3,1,5,3.0,,,,,,
2,Erick Dampier Jr.,Madison-Ridgeland Academy,?,Play Finishing Big,Versatile Big,"6'10""",4,8,4,2,7,6,5.2,,,,,,
2,Jan Cerdan,Barcelona (ESP),?,Skilled Big,Helper,"6'9""",,,,,10,7,8.5,,,,,,
2,Shalen Sheppard,Crossroads,?,Skilled Forward,Helper,"6'8""",6,11,8,9,6,8,8.0,,,,,,
2,Bentley Lusakueno,Woodward Academy,?,Skilled Forward,Helper,"6'9""",7,5,1,7,4,9,5.5,,,,,,
2,Rhys Robinson,Real Madrid (USA),?,Connector Wing,???,"6'7""",,,,,9,10,9.5,,,,,,
2,Adan Diggs,Millennium,?,Scoring Guard,Perimeter Stopper,"6'4""",5,7,9,8,5,11,7.5,,,,,,
3,Mason Collins,Tatnall School,?,Scoring Wing,???,"6'6""",10,9,12,6,14,12,10.5,,,,,,
3,Kam Mercer,Princeton,?,Primary Ball Handler,???,"6'5""",14,16,7,5,15,13,11.7,,,,,,
3,Gideon Silas Henry,Orange1 Bassano (NGA),?,Play Finishing Big,Rim Protector,"6'9""",,,,,,14,14.0,,,,,,
3,Evan Willis,Crossroads,?,Off-Ball Wing,Perimeter Disruptor,"6'7""",57,6,30,20,,15,25.6,,,,,,
3,Dylan Betts,IMG Academy,?,Play Finishing Big,Rim Protector,"7'0""",12,10,6,,20,16,12.8,,,,,,
3,Josh Lowery,Legacy Christian Academy,?,Combo Wing,???,"6'6""",11,14,20,,12,17,14.8,,,,,,
3,Joseph Tala,Drive Basketball (FIN),?,Scoring Wing,Perimeter Stopper,"6'7""",,,,,,18,18.0,,,,,,
3,Jakyi Miles,Mesa,?,Primary Ball Handler,Point-of-Attack,"6'3""",40,18,11,10,56,19,25.7,,,,,,
3,Xavier Young,Faith Family Academy,?,Play Finishing Big,Rim Protector,"6'10""",39,12,15,13,13,20,18.7,,,,,,
3,DJ Okoth,Bartlett,?,Wing Scorer,Perimeter Stopper,"6'6""",9,15,18,12,11,21,14.3,,,,,,
3,Roko Jerik,Bayern Munich (GER),?,Scoring Wing,Perimeter Stopper,"6'7""",,,,,,22,22.0,,,,,,
3,Myles Hayes,Woodward Academy,?,Scoring Guard,???,"6'4""",27,13,22,11,8,23,17.3,,,,,,
3,Brady Pettigrew,Bolingbrook,?,Primary Ball Handler,Point-of-Attack,"6'3""",19,19,23,15,54,24,25.7,,,,,,
3,Blaze Johnson,Overtime Elite,?,Scoring Guard,???,"6'3""",32,17,49,16,17,25,26.0,,,,,,
3,Messie-Guethan Iwani,INSEP (FRA),?,Slasher,Perimeter Disruptor,"6'7""",,,,,,26,26.0,,,,,,
3,Michai White,Brewster Academy,?,Primary Ball Handler,Point-of-Attack,"6'0""",13,30,,18,27,27,23.0,,,,,,
3,Will Brunson,Rutgers Prep,?,Combo Wing,Perimeter Stopper,"6'6""",36,32,28,,22,28,29.2,,,,,,
3,Nash Avery,Archbishop Spalding,?,Skilled Forward,Versatile Big,"6'8""",48,43,24,19,42,29,34.2,,,,,,
