TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,,,,,,RANK
1,Rhys Robinson,Real Madrid (USA),?,Wing Handler,Perimeter Stopper,"6'7""",,,,,12,1,6.5,,,,,,
1,Bamba Touray,IMG Academy (SEN),?,Skilled Big,Rim Protector,"7'0""",2,4,3,5,4,2,3.3,,,,,,
2,AJ Williams,Eagles Landing,?,Scoring Wing,Perimeter Stopper,"6'7""",3,1,2,1,2,3,2.0,,,,,,
2,Shalen Sheppard,Crossroads,?,Skilled Forward,Helper,"6'8""",9,11,10,8,9,4,8.5,,,,,,
2,Josiah Rose,Faith Family Academy,?,Primary Ball Handler,Perimeter Stopper,"6'3""",6,45,5,,8,5,13.8,,,,,,
2,Colton Hiller,Coatesville,?,Combo Wing,Chaser,"6'6""",4,3,1,3,1,6,3.0,,,,,,
2,Erick Dampier Jr.,Madison-Ridgeland Academy,?,Play Finishing Big,Versatile Big,"6'10""",5,8,12,2,10,7,7.3,,,,,,
2,Isaiah Hamilton,Crestwood Prep (CAN),?,Scoring Wing,Perimeter Disruptor,"6'6""",7,2,,,16,8,8.3,,,,,,
2,Yorgos Monama,Spanish Basketball Academy (BEL),?,Wing Handler,Perimeter Stopper,"6'6""",,,,,,9,9.0,,,,,,
2,Toni Garma,Real Madrid (CRO),?,Combo Guard,Perimeter Stopper,"6'5""",,,,,51,10,30.5,,,,,,
2,Dylan Betts,IMG Academy,?,Play Finishing Big,Rim Protector,"7'0""",11,10,4,,22,11,11.6,,,,,,
2,Xavier Young,Faith Family Academy,?,Play Finishing Big,Rim Protector,"6'10""",10,12,13,13,6,12,11.0,,,,,,
2,DJ Okoth,Bartlett,?,Wing Scorer,Perimeter Stopper,"6'6""",8,15,7,12,5,13,10.0,,,,,,
3,Mason Collins,Tatnall School,?,Scoring Wing,???,"6'6""",12,9,9,4,15,14,10.5,,,,,,
3,Jan Cerdan,Barcelona (ESP),?,Skilled Big,Helper,"6'9""",,,,,13,15,14.0,,,,,,
3,Gideon Silas Henry,Orange1 Bassano (NGA),?,Play Finishing Big,Rim Protector,"6'9""",,,,,,16,16.0,,,,,,
3,Bentley Lusakueno,Woodward Academy,?,Skilled Forward,Helper,"6'9""",13,5,6,10,7,17,9.7,,,,,,
3,Yann Kamagate,St Francis,?,Play Finishing Big,Rim Protector,"7'0""",,,11,,65,18,31.3,,,,,,
3,Kam Mercer,Princeton,?,Primary Ball Handler,???,"6'5""",31,16,16,7,17,19,17.7,,,,,,
3,Evan Willis,Crossroads,?,Off-Ball Wing,Perimeter Disruptor,"6'7""",19,6,15,18,25,20,17.2,,,,,,
3,Joseph Tala,Drive Basketball (FIN),?,Scoring Wing,Perimeter Stopper,"6'7""",,,,,,21,21.0,,,,,,
3,Jakyi Miles,Mesa,?,Primary Ball Handler,Point-of-Attack,"6'3""",37,18,19,9,57,22,27.0,,,,,,
3,Messie-Guethan Iwani,INSEP (FRA),?,Slasher,Perimeter Disruptor,"6'8""",,,,,,23,23.0,,,,,,
3,Adan Diggs,Millennium,?,Scoring Guard,Perimeter Stopper,"6'4""",1,7,8,6,3,24,8.2,,,,,,
3,Josh Lowery,Sierra Canyon,?,Combo Wing,???,"6'3""",14,14,14,23,27,25,19.5,,,,,,
3,Liam Mitakaro,Bella Vista Prep (CAN),?,Combo Guard,???,"6'4""",43,30,32,,33,26,32.8,,,,,,
3,Myles Hayes,Woodward Academy,?,Scoring Guard,???,"6'4""",15,13,17,11,11,27,15.7,,,,,,
3,Blaze Johnson,Overtime Elite,?,Scoring Guard,Point-of-Attack,"6'3""",34,17,30,16,19,28,24.0,,,,,,
3,Michai White,Brewster Academy,?,Primary Ball Handler,Point-of-Attack,"6'0""",30,30,23,17,21,29,25.0,,,,,,
3,Boss Mhoon,The King's Academy,?,Combo Guard,Perimeter Disruptor,"6'4""",32,65,29,,40,30,39.2,,,,,,
3,Liam Kabeya,INSEP (FRA),?,Primary Ball Handler,Perimeter Disruptor,"6'4""",,,,,,31,31.0,,,,,,
3,Nash Avery,Archbishop Spalding,?,Skilled Forward,Versatile Big,"6'8""",49,43,61,20,45,32,41.7,,,,,,
3,Brady Pettigrew,Bolingbrook,?,Primary Ball Handler,Point-of-Attack,"6'3""",16,19,25,15,55,33,27.2,,,,,,
3,Roko Jerik,Bayern Munich (GER),?,Scoring Wing,Perimeter Stopper,"6'7""",,,,,63,34,48.5,,,,,,
3,Marceles Duncan,Rangeview,?,Scoring Wing,Perimeter Disruptor,"6'5""",21,,26,,31,35,37.7,,,,,,
3,Will Brunson,Rutgers Prep,?,Combo Wing,Perimeter Stopper,"6'6""",22,32,20,,24,36,26.8,,,,,,
3,Emmanuel Ouedraogo,Wilson Academy (CIV),?,Play Finishing Big,Rim Protector,"6'10""",,,,,,37,37.0,,,,,,
3,Gangaly Diallo,Blois (FRA),?,Play Finishing Big,Rim Protector,"6'11""",,,,,,38,38.0,,,,,,
3,Isaac Smith,Hargrave Military Academy,?,Off-Ball Wing,Perimeter Disruptor,"6'5""",18,66,18,,20,40,32.4,,,,,,
3,Quinton Wilson,Overtime Elite,?,Scoring Guard,???,"6'5""",54,23,22,,43,41,36.6,,,,,,
3,Isaiah Carter,Highland,?,Scoring Wing,Perimeter Stopper,"6'6""",24,33,21,,26,42,29.2,,,,,,
3,Tai Bell,Mater Lakes Academy,?,,,"6'2""",23,25,35,24,29,43,29.8,,,,,,
3,Gustavs Vilcans,Dubai BC (LAT),?,Skilled Forward,Helper,6'7,,,,,,44,44.0,,,,,,
3,Josh Lindsay,St. Xavier,?,Primary Ball Handler,Point-of-Attack,"6'1""",25,27,43,,34,45,34.8,,,,,,
3,Farid Compaore,Milano (ITA),?,Combo Guard,Perimeter Stopper,"6'4""",,,,,,46,46.0,,,,,,
3,Logan Chwastyk,Malvern Prep,?,Skilled Big,Helper,"6'9""",17,20,27,,62,47,34.6,,,,,,
3,Devaughn Dorrough,Coronado,?,Scoring Wing,Perimeter Stopper,"6'6""",64,50,55,,,48,54.3,,,,,,
3,Antoine Caughman,Keenan,?,Combo Guard,Perimeter Stopper,"6'4""",33,24,24,,23,49,30.6,,,,,,
3,Anthony Spratt,Benton,?,Combo Wing,Perimeter Stopper,"6'6""",36,37,31,19,39,49,35.2,,,,,,
3,Xavier Skipworth,The Bullis School,?,Scoring Wing,Perimeter Stopper,"6'5""",40,26,37,14,91,50,43.0,,,,,,
3,Malik Moore,Union Catholic ,?,Combo Guard,Point-of-Attack,"6'3""",26,22,86,22,71,51,46.3,,,,,,
3,Benjamin Berrouet,McKinney Boyd (LAT),?,Post Scorer,Helper,"6'7""",50,,47,,14,52,40.8,,,,,,
3,Christian Claire,Archbishop Shaw,?,Primary Ball Handler,Point-of-Attack,"6'3""",,,63,,,53,58.0,,,,,,
3,Soumalia Keita,Zarazoga (MLI),?,Play Finishing Big,Rim Protector,"7'0""",,,,,,54,54.0,,,,,,
3,Noah Santos,Pablo Laso Academy (FIN),?,Scoring Wing,Perimeter Stopper,"6'7""",,,,,,55,55.0,,,,,,
3,Boogie Cook,Christian Academy of Louisville,?,Slasher,Perimeter Disruptor,"6'7""",67,36,96,,35,56,58.0,,,,,,
