Team,Division,Player,Unnamed: 3,Division.1,PPG,RPG,APG,TOV,AST/TOV,SPG,BPG,STOCKS PER,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,FTR,3Pr
Dream Vision,16U,Mahamadou Kouye Diop,,16U,15.8,10.1,0.6,0.8,0.8,0.6,2.0,2.6,53,78,67.90%,0,0,0%,20,39,51.30%,0.5,0.0
Southern Assault 2027,16U,David Baliraine,,16U,11.3,5.2,0.6,1.5,0.4,0.7,1.1,1.8,56,87,64.40%,1,4,25.00%,34,57,59.60%,0.655,0.046
Warriors Life Elite WLE 2027,16U,Ja'Zir Wright-McGhee,,16U,15.2,3.6,2.4,1.8,1.3,2.0,1.0,3.0,29,44,65.90%,10,15,66.70%,8,9,88.90%,0.205,0.341
K-Low Elite,16U,Silas Graham,,16U,14.2,5.9,2.5,1.6,1.6,1.8,1.0,2.8,71,123,57.70%,12,31,38.70%,31,38,81.60%,0.309,0.252
Tennessee Impact Adidas Gold,16U,Jovis Erwan,,16U,15.0,10.0,0.0,5.0,0.0,4.0,1.0,5.0,6,13,46.20%,1,5,20.00%,2,4,50.00%,0.308,0.385
LOCALHOOPS Training Academy 16u Adidas,16U,Tyson Burley,,16U,13.0,2.0,0.0,0.0,-,1.0,1.0,2.0,5,6,83.30%,3,4,75.00%,0,0,0%,0.0,0.667
Atlanta Celtics 3SSB,16U,Kmajay Jenkins,,16U,19.0,5.9,1.8,1.5,1.2,1.6,0.8,2.4,58,99,58.60%,12,26,46.20%,24,37,64.90%,0.374,0.263
D1 Minnesota 3SSB,16U,Ahmed Nur,,16U,13.2,5.7,0.9,0.9,1.0,0.3,0.8,1.1,101,176,57.40%,17,49,34.70%,18,25,72.00%,0.142,0.278
TJ Ford Basketball,16U,Maddox Davis,,16U,13.1,4.9,1.1,1.0,1.1,0.7,0.8,1.5,58,123,47.20%,13,49,26.50%,41,64,64.10%,0.52,0.398
Team Tradition,16U,Max Vise,,16U,12.7,2.7,0.3,0.8,0.4,0.5,0.8,1.3,31,45,68.90%,0,1,0%,14,20,70.00%,0.444,0.022
DRIVE Basketball,16U,Alexander Birsan,,16U,14.3,5.8,1.0,1.5,0.7,0.3,0.8,1.1,19,48,39.60%,5,18,27.80%,14,18,77.80%,0.375,0.375
Power 5,16U,Jalen AR Brown,,16U,18.5,3.3,2.2,1.2,1.8,1.2,0.7,1.9,103,208,49.50%,26,85,30.60%,101,136,74.30%,0.654,0.409
The Collective Elite,16U,Sha-Cure Grant,,16U,14.2,5.7,0.8,1.0,0.8,1.5,0.7,2.2,32,45,71.10%,2,6,33.30%,19,27,70.40%,0.6,0.133
Arizona UH Elite Adidas Gold,16U,Justin Johnson,,16U,11.6,3.2,0.2,0.6,0.3,0.2,0.6,0.8,22,32,68.80%,5,8,62.50%,9,14,64.30%,0.438,0.25
New World 3SSB,16U,Jlon Lyons,,16U,12.9,2.9,3.0,2.0,1.5,1.6,0.5,2.1,64,122,52.50%,12,35,34.30%,28,32,87.50%,0.262,0.287
