Team ,Division,Name,G,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3Pr,FTM,FTA,FT%,FTr
Team Final,15U,Rowan Phillips,12,24:09:00,22.9,2.3,0.3,2.9,3.2,1.4,0.2,1.6,1.8,1.28,1.8,275,54.3,89,175,50.9,77,134,57.5,12,41,29.3,0.234,85,109,78,0.623
Drive Nation,15U,Wallace Wright III,11,28:18:00,22.5,3.2,0.8,3,3.8,2.7,0.3,3,3.8,0.84,2.2,248,47.9,91,213,42.7,69,142,48.6,22,71,31,0.333,44,71,62,0.333
Team Thad,15U,Joshua Huggins,12,27:00:00,22.2,1.8,3.4,3.8,7.2,1.4,0.6,2,2,0.90,1.5,267,51.5,102,205,49.8,95,187,50.8,7,18,38.9,0.088,56,82,68.3,0.400
Georgia Stars,15U,aj williams,4,28:58:00,22,1.8,3,4,7,2,1,3,4.5,0.40,1.2,88,50,32,71,45.1,25,50,50,7,21,33.3,0.296,17,22,77.3,0.310
Mac Irvin Fire,15U,Amarion Smith-Holley,11,28:16:00,21.5,2.6,0.6,2.3,2.9,1.5,0,1.5,3.7,0.70,1.4,237,65.2,93,161,57.8,69,110,62.7,24,51,47.1,0.317,27,39,69.2,0.242
AOT,15U,Johnquell Garner,3,23:46,21.3,1,6,6.3,12.3,1.7,2.7,4.4,3,0.33,2.7,64,53.7,22,41,53.7,22,41,53.7,0,0,0,0.000,20,34,58.8,0.829
NY Lightning,15U,Kevin Wheatley Jr.,4,27:24:00,21.2,2,4,5.2,9.2,1.5,0.2,1.7,2.5,0.80,1.5,85,58.3,30,60,50,20,37,54.1,10,23,43.5,0.383,15,19,78.9,0.317
Georgia Stars,15U,AJ Williams,7,30:02:00,21.1,2.1,1.3,6.9,8.1,1.3,0.7,2,3,0.70,0.9,148,44.4,47,126,37.3,29,77,37.7,18,49,36.7,0.389,36,42,85.7,0.333
Meanstreets,15U,L. Lampley,4,25:46:00,20.8,0.8,3,3,6,1.2,0.8,2,2.5,0.32,3,83,62,30,50,60,28,43,65.1,2,7,28.6,0.140,21,40,52.5,0.800
AOT,15U,Bryson Jatta,7,28:11:00,19.9,2.9,3,3.4,6.4,2.9,0.4,3.3,4.3,0.67,1.9,139,40.9,52,132,39.4,48,91,52.7,4,41,9.8,0.311,31,57,54.4,0.432
PSA Cardinals,15U,Colton Hiller,8,26:43:00,19.9,0.8,1.2,2.5,3.8,1.1,0.8,1.9,2.2,0.36,1.6,159,51.3,52,117,44.4,36,63,57.1,16,54,29.6,0.462,39,46,84.8,0.393
Legynds,15U,Rodney Washington,12,26:38:00,19.8,2,1.1,4.2,5.2,1.4,0.2,1.6,3.2,0.63,1.7,237,49.7,84,185,45.4,68,136,50,16,49,32.7,0.265,53,79,67.1,0.427
Howard Pulley,15U,Kevin Wilson Jr.,12,29:21:00,19.8,3.6,0.1,2.8,2.8,1.4,0.1,1.5,2.5,1.44,1.2,238,53.3,77,180,42.8,39,79,49.4,38,101,37.6,0.561,46,57,80.7,0.317
Team Melo,15U,Aaron Avery,11,30:06:00,19.5,1.3,3.5,3.8,7.4,1,3.2,4.2,2.2,0.59,1.6,214,51.6,75,153,49,67,125,53.6,8,28,28.6,0.183,56,84,66.7,0.549
AB Elite,15U,Darren Ford,12,28:27:00,18.8,2.7,1.4,4.4,5.8,1.8,0.1,1.9,3.1,0.87,1.6,225,45.2,71,178,39.9,52,120,43.3,19,58,32.8,0.326,64,80,80,0.449
JL3,15U,Madden Hill,11,30:23:00,18.1,4.8,1.2,4.3,5.5,1,0.3,1.3,3.4,1.41,0.5,199,56.3,78,158,49.4,56,96,58.3,22,62,35.5,0.392,21,27,77.8,0.171
Indy Heat,15U,Dylan Ziegler,8,26:50:00,18,2.9,1.9,4.6,6.5,1.4,0,1.4,3,0.97,1.6,144,46.2,54,132,40.9,40,90,44.4,14,42,33.3,0.318,22,31,71,0.235
All Ohio,15U,Xavier Jones,12,26:05:00,17.6,2.1,1.2,4.8,6.1,1.4,0.6,2,2.1,1.00,2.1,211,46.8,80,185,43.2,67,143,46.9,13,42,31,0.227,38,67,56.7,0.362
Oakland Soldiers,15U,Kingston Montague,11,24:53:00,17.6,2.8,0.5,2.4,2.8,1.7,0.2,1.9,1,2.80,1.4,194,53.2,63,141,44.7,39,77,50.6,24,64,37.5,0.454,44,54,81.5,0.383
Brad Beal Elite,15U,Anthony Spratt Jr,12,28:34:00,17.6,2,2.1,3.3,5.4,0.8,0.6,1.4,1.8,1.11,2.3,211,52.1,74,164,45.1,51,94,54.3,23,70,32.9,0.427,40,57,70.2,0.348
LivOn,15U,William Nelson Jr.,7,27:44:00,17.3,0.7,3.4,7.1,10.6,1,0.9,1.9,2,0.35,1.9,121,43.8,41,105,39,31,73,42.5,10,32,31.2,0.305,29,40,72.5,0.381
Utah Prospects,15U,Troy Kaufusi,11,28:07:00,17.2,4.4,0.8,3.1,3.9,1.8,0.5,2.3,5.1,0.86,2.3,189,48.7,67,158,42.4,47,96,49,20,62,32.3,0.392,35,45,77.8,0.285
Mokan,15U,Joshua Lindsay,12,28:16:00,17.2,2.2,1.3,3.8,5.1,0.9,0.7,1.6,2.7,0.81,2.2,206,54.7,79,172,45.9,49,97,50.5,30,75,40,0.436,18,27,66.7,0.157
Alabama Fusion,15U,DONAVIN OKOTH,11,27:53:00,17.1,2.1,3.5,3.6,7.2,2.5,1.1,3.6,1.8,1.17,2.2,188,55.1,74,137,54,71,128,55.5,3,9,33.3,0.066,37,56,66.1,0.409
AOT,15U,Bryson Jatta,4,31:11:00,16.8,3,1.5,3.5,5,2.8,0.2,3,3.5,0.86,1,67,42.2,25,64,39.1,21,42,50,4,22,18.2,0.344,13,22,59.1,0.344
AB Elite,15U,Trey Edwards,11,29:30:00,16.8,1,0.7,2.3,3,1.2,0.5,1.7,2.2,0.45,1.4,185,57,66,136,48.5,43,68,63.2,23,68,33.8,0.500,30,40,75,0.294
UPLAY,15U,Noah D'Acre,12,24:12:00,16.8,1.6,1.9,3.6,5.5,0.5,0.8,1.3,2.2,0.73,2.4,201,57.6,68,144,47.2,38,67,56.7,30,77,39,0.535,35,43,81.4,0.299
All Ohio,15U,Evan Roddy,8,21:34,16.6,2.6,2.9,2.6,5.5,1.9,0.6,2.5,1.6,1.63,2,133,46.6,46,116,39.7,30,74,40.5,16,42,38.1,0.362,25,36,69.4,0.310
Oakland Soldiers,15U,Shalen Sheppard,11,27:47:00,16.6,3.1,1.9,5.6,7.5,1.2,1.3,2.5,1.4,2.21,1.7,183,57.9,80,146,54.8,71,120,59.2,9,26,34.6,0.178,14,19,73.7,0.130
Meanstreets,15U,Landon Lampley,4,26:20:00,16.5,1.8,2,3.5,5.5,1,0.2,1.2,3,0.60,1.2,66,55.7,23,44,52.3,20,34,58.8,3,10,30,0.227,17,22,77.3,0.500
Boo Williams,15U,Damien Robinson,12,28:24:00,15.9,2.8,0.8,2.9,3.8,3,0.2,3.2,1.3,2.15,2.5,191,50.9,65,159,40.9,33,77,42.9,32,82,39,0.516,29,37,78.4,0.233
