Team,Division,Name,Games,MPG,PPG,APG,ORPG,DRPG,RPG,SPG,BPG,STOCKS,TOV,AST/TOV,FPG,PTS,FGE%,FGM,FGA,FG%,2-PM,2PA,2P%,3-PM,3PA,3P%,3pr,FTM,FTA,FT%,FTr
Meanstreets,16U,Davion Thompson,12,28:51:00,23.5,3.8,1.1,4.2,5.2,1.2,0.1,1.3,2.6,1.46,1.2,282,54,88,186,47.3,63,110,57.3,25,76,32.9,0.409,81,104,77.9,0.559
Georgia Stars,16U,Patrick Otey,8,30:17:00,23.4,3.4,2.6,4,6.6,3,0.2,3.2,2.9,1.17,1.4,187,53.8,70,145,48.3,54,93,58.1,16,52,30.8,0.359,31,43,72.1,0.297
Florida Rebels,16U,Oneal Delancy,11,28:51:00,21.7,5.7,1.5,4.3,5.7,1.5,0.1,1.6,2.7,2.11,1.4,239,55.3,80,171,46.8,51,96,53.1,29,75,38.7,0.439,50,70,71.4,0.409
Drive Nation,16U,Ryan Hampton,11,28:39:00,21.6,1.5,2.9,4.5,7.4,0.8,0.8,1.6,1.8,0.83,0.4,238,47.2,87,194,44.8,78,151,51.7,9,43,20.9,0.222,55,76,72.4,0.392
NY Lightning,16U,Johnny Magna,4,27,20.8,1.8,1.5,3.5,5,1.8,0.2,2,0.8,2.25,1.8,83,53.8,35,65,53.8,35,62,56.5,0,3,0,0.046,13,16,81.2,0.246
Team Thad,16U,Dylan Jones,12,27:42:00,20.8,2.9,2.8,4.4,7.2,1.3,0.2,1.5,2.6,1.12,1.3,250,44.1,89,230,38.7,64,140,45.7,25,90,27.8,0.391,47,65,72.3,0.283
Meanstreets,16U,Jaxson Davis,12,29:02:00,19.9,4.2,1.6,4.1,5.7,2.3,0.2,2.5,2.2,1.91,2,239,60.2,84,172,48.8,45,90,50,39,82,47.6,0.477,32,38,84.2,0.221
Team Thad,16U,Lincoln Vinson,12,28:46:00,19.5,3,2.3,4.2,6.5,1.2,0.5,1.7,2.3,1.30,1.6,234,63.5,81,155,52.3,46,75,61.3,35,80,43.8,0.516,37,51,72.5,0.329
NJ Scholars,16U,Tyler Sutton,12,28:38:00,18.4,3.7,1,2.9,3.9,2.5,0.1,2.6,3.7,1.00,1.1,221,44.4,80,198,40.4,64,126,50.8,16,72,22.2,0.364,45,60,75,0.303
NW Rotary,16U,Keaundre Morris,11,26:17:00,18.3,2.1,0.5,2.4,2.9,1.1,0.3,1.4,1.9,1.11,1.5,201,56.4,74,165,44.8,36,78,46.2,38,87,43.7,0.527,15,21,71.4,0.127
