"conferenceId","Team ID","Team Market","position","Player Height","Class Year","playerId","jerseyNum","fullName","Games Started","Games Played","Minutes Played","Assist Pct","Assist Pct %ile","Assist Ratio","Assist Ratio %ile","Turnover Pct","Turnover Pct %ile","Ast/Tov Ratio","Ast/Tov Ratio %ile","Usage Pct","Usage Pct %ile","True Shooting %","True Shooting % %ile","2-Point Pct","2-Point Pct %ile","3-Point Pct","3-Point Pct %ile","Free Throw Pct","Free Throw Pct %ile","Off Rebound Pct","Off Rebound Pct %ile","FT Attempt Rate","FT Attempt Rate %ile","3-Point Att Rate","3-Point Att Rate %ile"
"59","104515","Youngstown St.","G","78","Junior","2541964","77","Rontavious Blackshear","0","27","377.81","0.09534","0.31","0.09371","0.16","0.10915","0.73","0.94737","0.23","0.23607","0.78","0.54803","0.59","0.55","0.81","0.33663","0.54","0.75","0.47","0.01268","0.14","0.22695","0.29","0.71631","0.88"
"59","104515","Youngstown St.","G","75","Junior","1917644","6","Andrew King","0","29","491.13","0.24314","0.88","0.41929","0.99","0.35098","0.01","2.05714","0.84","0.10384","0.02","0.60278","0.88","0.54545","0.8","0.33333","0.53","0.71053","0.34","0.04846","0.79","0.79167","0.99","0.3125","0.21"
"59","104515","Youngstown St.","G","74","Senior","1916165","9","Bryson Dawkins","29","29","803.83","0.10837","0.39","0.10202","0.21","0.11638","0.68","0.97619","0.24","0.2296","0.74","0.56914","0.72","0.60526","0.94","0.30526","0.35","0.5974","0.11","0.04441","0.75","0.27018","0.42","0.33333","0.25"
"59","104515","Youngstown St.","G","74","Senior","1711894","1","Cam Polak","10","27","459.52","0.06234","0.12","0.08951","0.14","0.19046","0.18","0.51613","0.04","0.18014","0.4","0.55766","0.65","0.45833","0.4","0.35789","0.67","0.7931","0.64","0.03561","0.63","0.2437","0.33","0.79832","0.95"
"59","104515","Youngstown St.","G","70","Senior","1701888","0","Jason Nelson","29","29","738.21","0.21069","0.8","0.26363","0.9","0.20342","0.14","1.76","0.73","0.17028","0.32","0.4954","0.26","0.44792","0.35","0.27536","0.23","0.72857","0.38","0.04191","0.73","0.42424","0.78","0.41818","0.4"
"86","104510","Yale","G","76","Sophomore","2345899","3","Jordan Brathwaite","1","29","557.55","0.09031","0.29","0.13612","0.41","0.0978","0.81","1.61111","0.66","0.1746","0.35","0.5753","0.76","0.41538","0.22","0.43617","0.96","0.875","0.91","0.02259","0.38","0.10063","0.05","0.59119","0.72"
"86","104510","Yale","G","72","Junior","2143587","11","Trevor Mullin","28","29","803.6","0.16784","0.67","0.18812","0.68","0.09756","0.81","2.375","0.9","0.2159","0.66","0.57601","0.77","0.44643","0.34","0.38411","0.82","0.89333","0.94","0.02664","0.47","0.28517","0.47","0.57414","0.69"
"86","104510","Yale","G","75","Senior","1949283","44","Devon Arlington","1","28","392.19","0.14856","0.58","0.247","0.86","0.25709","0.05","1.27586","0.46","0.15192","0.2","0.45346","0.12","0.35897","0.09","0.33333","0.53","0.6","0.12","0.01275","0.14","0.26667","0.4","0.48","0.52"
"86","104510","Yale","G","78","Senior","1702189","14","Casey Simmons","29","29","785.35","0.07225","0.16","0.10331","0.21","0.07061","0.95","1.63158","0.67","0.18123","0.41","0.61975","0.93","0.60355","0.93","0.37778","0.79","0.67073","0.24","0.05452","0.84","0.38318","0.71","0.21028","0.09"
"29","104509","Xavier","G","75","Sophomore","2324122","3","All Wright","28","33","733.35","0.15329","0.6","0.22386","0.81","0.08875","0.87","3.25","0.98","0.15297","0.2","0.60127","0.88","0.5","0.63","0.42222","0.94","0.84091","0.82","0.01316","0.15","0.23656","0.32","0.48387","0.53"
"29","104509","Xavier","G","75","Senior","1924051","0","Roddie Anderson III","5","33","784.37","0.17724","0.7","0.1543","0.51","0.10848","0.74","1.68182","0.69","0.25741","0.88","0.4964","0.26","0.44776","0.35","0.31405","0.4","0.72222","0.37","0.02598","0.46","0.2795","0.45","0.37578","0.32"
"29","104509","Xavier","G","77","Senior","1917657","1","Malik Messina-Moore","33","33","1095.57","0.19226","0.74","0.23947","0.84","0.12189","0.63","2.58333","0.94","0.17893","0.39","0.52053","0.4","0.45578","0.39","0.31847","0.43","0.8","0.67","0.0186","0.28","0.3125","0.54","0.51645","0.59"
"29","104509","Xavier","G","77","Senior","1725430","7","Isaiah Walker","1","32","542.1","0.06871","0.15","0.14194","0.44","0.07519","0.93","2.2","0.87","0.12238","0.07","0.60569","0.89","0.53571","0.76","0.41071","0.91","0.8","0.67","0.06142","0.89","0.22321","0.28","0.5","0.56"
"87","104508","Wyoming","G","79","Freshman","2506840","2","Nasir Meyer","23","30","832.91","0.17123","0.68","0.15788","0.53","0.14061","0.47","1.33333","0.5","0.2326","0.76","0.57576","0.77","0.55921","0.84","0.34058","0.57","0.75824","0.5","0.04391","0.75","0.31379","0.55","0.47586","0.51"
"87","104508","Wyoming","G","73","Sophomore","2305462","1","Damarion Dennis","18","31","744.28","0.11736","0.44","0.1272","0.35","0.06779","0.96","2.15","0.86","0.20139","0.57","0.63091","0.95","0.63265","0.96","0.34343","0.58","0.89394","0.95","0.05105","0.82","0.26829","0.41","0.40244","0.38"
"87","104508","Wyoming","G","76","Junior","2153479","3","Khaden Bennett","31","32","904.56","0.17781","0.7","0.21014","0.76","0.12698","0.58","2.09524","0.84","0.18569","0.44","0.56094","0.67","0.45","0.36","0.35772","0.67","0.80769","0.7","0.05992","0.88","0.42798","0.79","0.50617","0.57"
"87","104508","Wyoming","G","79","Junior","2098197","13","Adam Harakow","7","32","605.58","0.06289","0.12","0.10471","0.22","0.10581","0.76","1.10526","0.34","0.15057","0.19","0.59153","0.84","0.5614","0.85","0.37805","0.79","0.67347","0.25","0.05713","0.86","0.35252","0.64","0.58993","0.72"
